tweet_id,customer_text,brand_reply,author_id,created_at
1001,app keeps crashing every time i open it tried reinstalling twice still broken,Hey sorry about that! Try: 1) Log out & back in 2) Clear app cache in Settings 3) Reinstall from the App Store. Let us know! ^SP,SpotifyCares,2017-10-15
1002,songs keep skipping and pausing randomly on android phone so frustrating,Ugh that's annoying! Make sure your Android battery optimization isn't restricting Spotify. Settings > Apps > Spotify > Battery > No Restrictions. ^SP,SpotifyCares,2017-10-16
1003,offline downloads disappeared after the update all my songs are gone,Oh no! Go to Your Library > Downloads and re-sync. Make sure you're on WiFi and have enough storage. Still missing? DM us! ^SP,SpotifyCares,2017-10-17
1004,bluetooth keeps disconnecting from car speakers every new song,Try: 1) Forget Spotify device in car settings 2) Re-pair 3) Disable battery saver for Spotify on your phone. Does that help? ^SP,SpotifyCares,2017-10-18
1005,spotify connect not working cant see my speaker in the app,Make sure your phone and speaker are on the same WiFi network. Then open Spotify > tap the speaker icon at the bottom. Still not showing? ^SP,SpotifyCares,2017-10-19
1006,premium plan showing as free even though i just paid,Hi! Can you check your account at spotify.com/account? If it still shows Free after 24hrs please DM us your account email! ^SP,SpotifyCares,2017-10-20
1007,student discount verification keeps failing im definitely enrolled,Sorry about that! Try verifying in an incognito browser window at spotify.com/student. Still failing? DM us your school name and we'll look into it! ^SP,SpotifyCares,2017-10-21
1008,family plan invite link says its expired,Invite links expire after 24 hours! Go to spotify.com/family > Manage Plan > Resend the invite. Also check you haven't hit the 6-person limit! ^SP,SpotifyCares,2017-10-22
1009,how do i transfer playlists from apple music to spotify,Great news — you can use a free tool called Soundiiz at soundiiz.com to transfer your playlists. Takes about 5 mins! ^SP,SpotifyCares,2017-10-23
1010,how do i enable crossfade between songs cant find setting,Easy one! Go to Settings > Playback > Crossfade and drag the slider. You can set it from 1 to 12 seconds ^SP,SpotifyCares,2017-10-24
1011,why is this album completely greyed out cant play any of it,Some albums aren't available in all regions due to licensing. Check if your account country matches your actual location at spotify.com/account ^SP,SpotifyCares,2017-10-25
1012,explicit filter is off but songs are still greyed out on my playlist,Hmm! Try toggling the explicit content filter off AND back on in Settings. If specific tracks are still grey let us know which ones! ^SP,SpotifyCares,2017-10-26
1013,podcast episodes wont download offline i have premium and space,Try removing the podcast from your library and re-adding it. Then download on WiFi. Also check Settings > Data Saver is off. ^SP,SpotifyCares,2017-10-27
1014,lyrics are way out of sync like 5 seconds behind the music,Known quirk! Close the lyrics view and reopen it. If it's a specific song please report it via the 3-dot menu > Report. ^SP,SpotifyCares,2017-10-28
1015,songs i added to playlist yesterday disappeared today,Odd! Check if your playlist is set to Collaborative — others can edit those. Tap the 3 dots > Collaborative Playlist to check. ^SP,SpotifyCares,2017-10-29
1016,spotify on mac freezes when i try to play local files,For local files on Mac: 1) Toggle Settings > Local Files off then on 2) Try the website installer instead of App Store version. Better? ^SP,SpotifyCares,2017-10-30
1017,cant play music on my echo device after latest update,Try relinking: Alexa app > Skills & Games > Spotify > Disable > Re-enable. Make sure both apps are fully updated! ^SP,SpotifyCares,2017-10-31
1018,app stuttering and buffering on 4g fine on wifi,This is usually a data speed issue. Try turning off Data Saver in Settings > Data Saver. Also make sure Download Quality isn't set too high. ^SP,SpotifyCares,2017-11-01
1019,how do i set up equalizer on spotify,Great question! Head to Settings > Playback > Equalizer. You can choose presets or create your own. ^SP,SpotifyCares,2017-11-02
1020,how do i make a collaborative playlist with my friends,Tap the 3 dots on any playlist you made > Collaborative Playlist. Share the link and friends can add songs! ^SP,SpotifyCares,2017-11-03
1021,new desktop redesign is awful please bring back old layout,We hear you! We know big changes are tough. Please share your detailed thoughts at community.spotify.com — our product team reads everything! ^SP,SpotifyCares,2017-11-04
1022,please add hi fi audio quality to spotify been waiting forever,Ha we feel the excitement! We can't share specifics but your voice matters. Drop your idea at community.spotify.com! ^SP,SpotifyCares,2017-11-05
1023,want to cancel premium but cant find where in the app,Cancellation is done on the web! Visit spotify.com/account > Your Plan > Cancel Premium. It stays active until your billing period ends. ^SP,SpotifyCares,2017-11-06
1024,how do i use spotify on my tv,You can use Spotify on smart TVs via the built-in app or cast from your phone using Spotify Connect. Search 'Spotify' in your TV's app store! ^SP,SpotifyCares,2017-11-07
1025,app using way too much battery on iphone,Tip: disable Automix in Settings > Playback and set streaming quality to Normal when on mobile data. This cuts battery use significantly! ^SP,SpotifyCares,2017-11-08
1026,how do i see my listening history,Tap the clock icon at the top right of Home to see your recent listening history! ^SP,SpotifyCares,2017-11-09
1027,songs in my daily mix keep repeating same ones every day,Your Daily Mix learns from what you play most! Try liking more variety or exploring different playlists to help it diversify. ^SP,SpotifyCares,2017-11-10
1028,cant log into my account password reset email never arrives,Check your spam folder! Also try resetting at spotify.com/password-reset using a different email client. Still nothing? DM us! ^SP,SpotifyCares,2017-11-11
1029,app shows wrong account name after i updated it,Log out and back in to refresh your profile. If it still shows the old name DM us your account email and we'll take a look! ^SP,SpotifyCares,2017-11-12
1030,how do i share a specific song with a friend,Easy! Tap the 3 dots next to any track > Share. You can share a link via WhatsApp Instagram or copy the link directly. ^SP,SpotifyCares,2017-11-13
